"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87",".parentsUntil() - get parent DOM elements from DOM elements until el","","Wed Apr 29 22:21:32 UTC 2026","passed","Wed Apr 29 22:21:33 UTC 2026","","Traversal","",""
"","232",".should() - make an assertion about the current subject","Assertions","Wed Apr 29 22:20:34 UTC 2026","passed","Wed Apr 29 22:20:34 UTC 2026","","Implicit Assertions","",""
"","165","cy.getAllLocalStorage() - get all data in localStorage for all origins","","Wed Apr 29 22:21:27 UTC 2026","passed","Wed Apr 29 22:21:27 UTC 2026","","Local Storage / Session Storage","",""
"","87",".next() - get next sibling DOM element","","Wed Apr 29 22:21:32 UTC 2026","passed","Wed Apr 29 22:21:32 UTC 2026","","Traversal","",""
"","91","can throw any error","Assertions","Wed Apr 29 22:20:34 UTC 2026","passed","Wed Apr 29 22:20:34 UTC 2026","","Explicit Assertions","",""
"","315",".as() - alias a DOM element for later use","","Wed Apr 29 22:20:30 UTC 2026","passed","Wed Apr 29 22:20:30 UTC 2026","","Aliasing","",""
"","91",".prev() - get previous sibling DOM element","","Wed Apr 29 22:21:33 UTC 2026","passed","Wed Apr 29 22:21:33 UTC 2026","","Traversal","",""
"","713","cy.go() - go back or forward in the browser's history","","Wed Apr 29 22:21:06 UTC 2026","passed","Wed Apr 29 22:21:06 UTC 2026","","Navigation","",""
"","101","finds element by class name regex","Assertions","Wed Apr 29 22:20:34 UTC 2026","passed","Wed Apr 29 22:20:34 UTC 2026","","Explicit Assertions","",""
"","92",".prevUntil() - get all previous sibling DOM elements until el","","Wed Apr 29 22:21:33 UTC 2026","passed","Wed Apr 29 22:21:33 UTC 2026","","Traversal","",""
"","365",".end() - end the command chain","","Wed Apr 29 22:21:00 UTC 2026","passed","Wed Apr 29 22:21:00 UTC 2026","","Misc","",""
